,date,retweet,text,
0,Oct 7,False,Here is my statement. pic.twitter.com,
1,Oct 10,False,Is this really America? Terrible! pic.twitter.com,
2,Oct 8,False,"The media and establishment want me out of the race so badly -  I WILL NEVER DROP OUT OF THE RACE, WILL NEVER LET MY SUPPORTERS DOWN! #MAGA",
3,Oct 8,False,Certainly has been an interesting 24 hours!,
4,Oct 10,False,"Debate polls look great - thank you!
#MAGA #AmericaFirst pic.twitter.com",
5,4h4 hours ago,False,"WHAT THEY ARE SAYING ABOUT THE CLINTON CAMPAIGN’S ANTI-CATHOLIC BIGOTRY: 
 http://bit.ly/2dcbtvkCrooked ",
6,Oct 13,False,Thank you! #MAGA #AmericaFirst pic.twitter.com,
7,Oct 12,False,"I will be in Cincinnati, Ohio tomorrow night at 7:30pm- join me! #OhioVotesEarly #VoteTrumpPence16 
Tickets:  https://www.donaldjtrump.com/schedule/register/cincinnati-oh2/ … pic.twitter.com",
8,Oct 12,False,Very little pick-up by the dishonest media of incredible information provided by WikiLeaks. So dishonest! Rigged system!,
9,Oct 11,False,Thank you Florida- a MOVEMENT that has never been seen before and will never be seen again. Lets get out & #VoteTrumpPence16 on 11/8! #MAGA pic.twitter.com,
10,Oct 11,False,"The very foul mouthed Sen. John McCain begged for my support during his  primary (I gave, he won), then dropped me over locker room remarks!",
11,Oct 11,False,Disloyal R's are far more difficult than Crooked Hillary. They come at you from all sides. They don’t know how to win - I will teach them!,
12,Oct 11,False,With the exception of cheating Bernie out of the nom the Dems have always proven to be far more loyal to each other than the Republicans!,
13,Oct 11,False,It is so nice that the shackles have been taken off me and I can now fight for America the way I want to.,
14,Oct 11,False,"Our very weak and ineffective leader, Paul Ryan, had a bad conference call where his members went wild at his disloyalty.",
15,Oct 11,False,"Despite winning the second debate in a landslide (every poll), it is hard to do well when Paul Ryan and others give zero support!",
16,Oct 10,False,"Wow, @CNN got caught fixing their ""focus group"" in order to make Crooked Hillary look better. Really pathetic and totally dishonest!",
17,Oct 9,False,".@HillaryClinton is NOT above the law!
#Debates2016 pic.twitter.com",
18,Oct 9,False,"My team of deplorables will be taking over my Twitter account for tonight's #debate
#MakeAmericaGreatAgain",
19,Oct 9,False,So many self-righteous hypocrites. Watch their poll numbers - and elections - go down!,
20,Oct 4,False,"Wow, did you just hear Bill Clinton's statement on how bad ObamaCare is. Hillary not happy. As I have been saying, REPEAL AND REPLACE!",
21,Oct 4,False,I will be watching the great Governor @Mike_Pence and live tweeting the VP debate tonight starting at 8:30pm est! Enjoy!,
22,Oct 2,False,Just announced that Iraq (U.S.) is preparing for battle to reclaim Mosul. Why do they have to announce this? Makes mission much harder!,
23,Oct 2,False,"Melania and I extend our warmest greetings to those observing Rosh Hashanah here in the United States, in Israel, and around the world.",
24,Oct 2,False,Bernie should pull his endorsement of Crooked Hillary after she decieved him and then attacked him and his supporters.,
25,Oct 2,True,"""@trumplican2016: .@realDonaldTrump  There will be MASSIVE turnout for you,  Mr. Trump - These polls don't register the pulse of the PEOPLE!",
26,Oct 2,False,I have created tens of thousands of jobs and will bring back great American prosperity. Hillary has only created jobs at the FBI and DOJ!,
27,Oct 2,False,I know our complex tax laws better than anyone who has ever run for president and am the only one who can fix them. #failing@nytimes,
28,Oct 1,False,"Wow, just saw the really bad @CNN ratings. People don't want to watch bad product that only builds up Crooked Hillary.",
29,Oct 1,False,The so-called Commission on Presidential Debates admitted to us that the DJT audio & sound level was very bad. So why didn't they fix it?,
30,Oct 1,False,"Crooked H is nasty to Sanders supporters behind closed doors. Owned by Wall St and Politicians, HRC is not with you. http://www.politico.com/story/2016/09/hillary-clinton-bernie-sanders-supporters-audio-leak-228997 …",
31,Sep 30,False,I believe in #AmericaFirst and that means FAMILY FIRST! My childcare plan reflects the needs of modern working-class families. #ImWithYou pic.twitter.com,
32,Sep 30,False,"For those few people knocking me for tweeting at three o'clock in the morning, at least you know I will be there, awake, to answer the call!",
33,Sep 30,False,"Why isn't Hillary 50 points ahead? Maybe it's the email scandal, policies that spread ISIS, or calling millions of Americans deplorables! pic.twitter.com",
34,Sep 30,False,The people are really smart in cancelling subscriptions to the Dallas & Arizona papers & now USA Today will lose readers! The people get it!,
35,Sep 30,False,"Remember, don't believe ""sources said"" by the VERY dishonest media. If they don't name the sources, the sources don't exist.",
36,Sep 30,False,"Wow, Crooked Hillary was duped and used by my worst Miss U. Hillary floated her as an ""angel"" without checking her past, which is terrible!",
37,Sep 30,False,"Anytime you see a story about me or my campaign saying ""sources said,"" DO NOT believe it. There are no sources, they are just made up lies!",
38,Sep 29,False,"Wow, did you see how badly @CNN (Clinton News Network) is doing in the ratings. With people like @donlemon, who could expect any more?",
39,Sep 29,False,"While Hillary profits off the rigged system, I am fighting for you! Remember the simple phrase: #FollowTheMoney  https://www.facebook.com/DonaldTrump/videos/10157784190830725/ … pic.twitter.com",
40,Sep 29,False,My condolences to those involved in today's horrible accident in NJ and my deepest gratitude to all of the amazing first responders.,
41,Sep 28,False,"Every on-line poll, Time Magazine, Drudge etc., has me winning the debate. Thank you to Fox & Friends for so reporting!",
42,Sep 27,False,My supporters are the best! $18 million from hard-working people who KNOW what we can be again! Shatter the record: http://bit.ly/shatterrecords ,
43,Sep 27,False,"Unbelievable evening in Melbourne, Florida w/ 15,000 supporters- and an additional 12,000 who could not get in. Thank you! #TrumpTrain #MAGA pic.twitter.com",
44,Sep 27,False,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou pic.twitter.com,
45,Sep 27,False,"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA",
46,Sep 27,False,"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",
47,Sep 27,False,Thank you! #TrumpWon #MAGA http://www.dailymail.co.uk/news/article-3809204/Most-snap-polls-Trump-winning-debate-landslide.html …,
48,Sep 27,False,Hillary's been failing for 30 years in not getting the job done - it will never change.,
49,Sep 27,False,The #1 trend on Twitter right now is #TrumpWon - thank you!,
50,Sep 27,False,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.,
51,Sep 27,False,'How Trump won over a bar full of undecideds and Democrats' http://nypost.com/2016/09/26/the-best-debate-takes-come-from-inside-the-bar/ …,
52,Sep 27,False,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,
53,Sep 27,False,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE & GREAT AGAIN!
 http://www.DonaldJTrump.com  pic.twitter.com",
54,Sep 27,False,".@DRUDGE_REPORT's First Presidential Debate Poll:
Trump: 80%
Clinton: 20%
Join the MOVEMENT today & lets #MAGA!  http://www.DonaldJTrump.com  pic.twitter.com",
55,Sep 27,False,".@newtgingrich just said ""a historic victory for Trump."" NICE!",
56,Sep 26,False,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!",
57,Sep 26,False,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst #Debates2016 https://twitter.com/mike_pence/status/780615043809435649 …",
58,Sep 26,False,"Thank you Senator @TedCruz!
#Debates2016 #MAGA pic.twitter.com",
59,Sep 26,False,"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton.",
60,Sep 26,False,"Hillary Clinton failed all over the world. 
LIBYA
SYRIA
IRAN
IRAQ
ASIA PIVOT
RUSSIAN RESET
BENGHAZI
#DebateNight pic.twitter.com",
61,Sep 26,False,I will stand with police and protect ALL Americans! #Debates2016 #MAGA pic.twitter.com,
62,Sep 26,False,"This is the simple fact about @HillaryClinton: she is a typical politician - all talk, no action. #Debates2016",
63,Sep 26,False,HILLARY'S BAD TAX HABIT! pic.twitter.com,
64,Sep 26,False,.@HillaryClinton has been part of the rigged DC system for 30 years? Why would we take policy advice from her? #Debates2016,
65,Sep 26,False,"Why isn't Hillary Clinton 50 points ahead?
#DebateNight pic.twitter.com",
66,Sep 26,False,"My team of deplorables will be managing my Twitter account for this evenings debate. Tune in!
#DebateNight #TrumpPence16",
67,Sep 26,False,"New national Bloomberg poll just released - thank you! Join the MOVEMENT:  http://www.DonaldJTrump.com . 
#TrumpTrain #MAGA pic.twitter.com",
68,Sep 25,False,"Really sad news: The great Arnold Palmer, the ""King,"" has died. There was no-one like him - a true champion! He will be truly missed.",
69,Sep 25,False,Five people killed in Washington State by a Middle Eastern immigrant. Many people died this weekend in Ohio from drug overdoses. N.C. riots!,
70,Sep 25,False,"Readout of my meeting with Israeli Prime Minister Benjamin Netanyahu:
 https://www.facebook.com/DonaldTrump/posts/10157759149590725:0 … pic.twitter.com",
71,Sep 25,False,Looking forward to my meeting with Benjamin Netanyahu in Trump Tower at 10:00 A.M.,
72,Sep 25,False,Bernie Sanders gave Hillary the Dem nomination when he gave up on the e-mails. That issue has only gotten bigger!,
73,Sep 25,False,"Many on the team and staff of Bernie Sanders have been treated badly by the Hillary Clinton campaign - and they like Trump on trade, a lot!",
74,Sep 24,False,"If dopey Mark Cuban of failed Benefactor fame wants to sit in the front row, perhaps I will put Gennifer Flowers right alongside of him!",
75,Sep 24,True,"""@KellyannePolls: Trump is headed for a win, says professor who has predicted 30 years of presidential outcomes    http://wpo.st/hQg-2 """,
76,Sep 24,False,The @SenTedCruz endorsement was a wonderful surprise. I greatly appreciate his support! We will have a tremendous victory on November 8th.,
77,Sep 23,False,"Crooked Hillary's bad judgement forced her to announce that she would go to Charlotte on Saturday to grandstand. Dem pols said no way, dumb!",
78,Sep 22,False,Spoke with Governor @PatMcCroryNC of North Carolina today. He is doing a tremendous job under tough circumstances.,
79,Sep 21,False,"Great new polls! Thank you Nevada, North Carolina & Ohio. Join the MOVEMENT today & lets #MAGA!
 http://www.DonaldJTrump.com  pic.twitter.com",
80,Sep 21,False,"Hopefully the violence & unrest in Charlotte will come to an immediate end. To those injured, get well soon. We need unity & leadership.",
81,Sep 21,False,The situations in Tulsa and Charlotte are tragic. We must come together to make America safe again.,
82,Sep 21,False,"It is a MOVEMENT - not a campaign. Leaving the past behind, changing our future. Together, we will MAKE AMERICA SAFE AND GREAT AGAIN! pic.twitter.com",
83,Sep 20,False,"Thank you Kenansville, North Carolina! Remember- on November 8th, that special interest gravy train is coming to a very abrupt end! #MAGA pic.twitter.com",
84,Sep 20,False,"Thank you High Point, NC! I will fight for every neglected part of this nation & I will fight to bring us together as one American people! pic.twitter.com",
