,date,retweet,text,,
0,Oct 9,False,Remember. #Debate pic.twitter.com,,
1,Oct 10,False,"If Trump stands by what he said about women as “locker room talk,” he's clearly not sorry. pic.twitter.com",,
2,Oct 9,False,She won.  http://hrc.io/2dQkjip  #Debate pic.twitter.com,,
3,15m15 minutes ago,False,"""We are Black, we are proud, and here’s why we are working to elect Hillary."" @HFA staffers on why they're with her:  http://hrc.io/2dCyF2E  pic.twitter.com",,
4,3h3 hours ago,False,"One adviser called Hillary's efforts to get kids health insurance a ""one-woman army inside the White House.""http://hrc.io/2e4221g ",,
5,5h5 hours ago,False,"""Everyone knows how bright she is and how resilient she is, but...they're going to see how much she cares."" —@JoeBiden pic.twitter.com",,
6,5h5 hours ago,False,"""All the progress we've made these last 8 years is on the ballot."" —@POTUS

Make sure you're ready to vote:http://IWillVote.com ",,
7,5h5 hours ago,False,"""You have a chance to reject the politics of fear. You can lift up again the politics of hope.” —@POTUS http://IWillVote.com ",,
8,5h5 hours ago,False,"""Change is possible, but it doesn’t just depend on one person—it depends on all of us.” —@POTUS http://hillaryclinton.com/volunteer  #StrongerTogether",,
9,5h5 hours ago,False,"""She knows that in a democracy as big and diverse as this, we can't demonize each other.” —@POTUS on Hillary",,
10,5h5 hours ago,False,"""He may be up at 3am, but it’s because he’s tweeting insults at somebody who got under his skin.” —@POTUS on Trump",,
11,5h5 hours ago,False,“She's got the knowledge and experience and the temperament to be the next Commander-in-Chief.” —@POTUS on Hillary,,
12,6h6 hours ago,False,"""She's in the arena for you, fighting every day to make sure everybody gets a fair shake.” —@POTUS on Hillary",,
13,6h6 hours ago,False,"""Hillary is one of the smartest, toughest, best-prepared, most experienced candidates to ever run for this job.” —@POTUS",,
14,6h6 hours ago,False,"""You can go vote early right now. Early voting started on Wednesday...go to http://IWillVote.com/locate ."" —@POTUS in Ohio",,
15,6h6 hours ago,False,"What's ""smart"" about not funding America's military, schools, or health care for kids?http://hrc.io/2e3q3Fq ",,
16,7h7 hours ago,False,"""If you vote for someone other than Hillary—or if you don't vote at all—then you are helping to elect her opponent."" —@FLOTUS pic.twitter.com",,
17,9h9 hours ago,False,"""If we let Hillary's opponent win this election, then we are sending a clear message to our kids."" —@FLOTUS  http://IWillVote.com  pic.twitter.com",,
18,Oct 12,False,We have to win this election.,,
19,Oct 11,False,"Coming out often takes incredible courage. On #NationalComingOutDay, let's honor that courage by showing LGBT Americans we're with them. pic.twitter.com",,
20,Oct 4,False,"""I can't imagine how Governor Pence can defend the insult-driven, selfish, me-first style of Donald Trump."" —@TimKaine #VPDebate",,
21,Oct 4,False,"Thanks for the kind words, Mike. #VPDebate pic.twitter.com",,
22,Oct 4,False,RT to let @TimKaine know you've got his back tonight. #VPDebate pic.twitter.com,,
23,Oct 4,False,"Number of times Trump has tweeted at @Rosie: 65

Number of times Trump has tweeted in support of Mike Pence, his running mate: 21 #VPDebate",,
24,Oct 4,False,".@TimKaine's spent his whole life fighting for working families, so I have no doubt he'll do the same tonight. Go get 'em, Tim. -H",,
25,Oct 4,False,"If Trump's decisiveness in choosing Mike Pence as his running mate is any indication, he'll be great at making hard decisions as president. pic.twitter.com",,
