,date,retweet,text,,
0,Oct 2,False,Hey guys! Meet my #KimKardashianGame character at the So Chic Boutique in Downtown LA for a surprise ,KimKardashian,
1,Oct 2,False,This guy is always in my shot! pic.twitter.com,,
2,Oct 2,False,Balenciaga. No make up today. pic.twitter.com,,
3,Oct 1,False,Kourtney and Kim Take Paris pic.twitter.com,,
4,Oct 1,False,GIVENCHY COUTURE pic.twitter.com,,
5,Oct 2,False,The Yeezy Show Room in Paris is heaven.,,
6,Oct 2,False,Think I'm gonna wear no make up today to the Balenciaga show.,,
7,Oct 1,False,Just finished the Amanda Knox doc. I don't think they did it. I really want a Natalie Halloway doc & they need to solve that crime. So sad!,,
8,Oct 1,False,Paris Squad pic.twitter.com,,
9,Sep 30,False,Came home early from the fashion festivities to watch the Netflix Amanda Knox doc. Cannot wait to see this! Anyone see it yet? Thoughts?,,
10,Sep 30,False,Hair flip & eye roll at the same damn time! pic.twitter.com,,
11,Sep 29,False,Sister Slay pic.twitter.com,,
12,Sep 29,False,On the way to Balmain pic.twitter.com,,
13,Sep 28,False,My security @PascalDuvier is a G,,
14,Sep 27,False,NYC  PARIS pic.twitter.com,,
15,Sep 27,False,Currently @Andy pic.twitter.com,,
16,Sep 27,False,"He is desperately searching for a bone marrow match to survive, and you could be that match!!",,
17,Sep 27,False,He is 31 and a father of three who was recently diagnosed with an aggressive blood cancer called primary myelofibrosis.,,
18,Sep 27,False,"My best friend Allison’s 2 year old son is in school with a little boy called Joel, and his dad Adam needs our help! pic.twitter.com",,
19,Sep 25,False,I hope this documentary gets this cold case solved or even reopened. I pray JonBenét gets justice.,,
20,Sep 21,False, I did my hair and make up myself! Rare and proud moment https://twitter.com/molestmekardash/status/778671443693412352 …,,
21,Sep 20,False,"I'm in Houston, @MyleezaKardash is in Houston!! Who says we do a live stream backstage at the Saint Pablo tour??? Tweet her questions",,
22,Sep 19,False,Major side eye  pic.twitter.com,,
23,Sep 19,False,I'm going to Paris fashion week! Who is coming with me in the Kim Kardashian Hollywood game? Own your own fashion house in Paris in the game pic.twitter.com,,
24,Sep 19,False,SHEER VIBES  http://bit.ly/2cCwJZg  pic.twitter.com,,
25,Sep 18,False,Excited for Rob & Chyna tonight! Tune into E!,,
26,Sep 17,False,Tonight pic.twitter.com,,
27,Sep 17,False,Bathroom selfie right before Pablo hits the stage pic.twitter.com,,
28,Sep 15,False,You're so professional @steph_shep So responsible & thanks for never drinking on the job! pic.twitter.com,,
29,Sep 15,False,Seriously @steph_shep thanks for always having my back and eating all my left overs so they don't go to waste! pic.twitter.com,,
30,Sep 15,False,Happy Birthday @steph_shep I love this pic of us! pic.twitter.com,,
31,Sep 14,False,Thank you @riccardotisci17 LOVE this @givenchyofficial couture gown for the Harper's Party! pic.twitter.com,,
32,Sep 14,False,Gonna live stream backstage at Kanye's concert! Log in,,
33,Sep 14,False,I def will live stream today for the 1 year anniversary of my app!,,
34,Sep 13,False,Have you guys used the new presidential Kimojis? They are free! Just update! pic.twitter.com,,
35,Sep 13,False,Happy Birthday to one of the most genuine funniest guys I know! I love you @olivier_rousteing pic.twitter.com,,
36,Sep 13,False,NEW PRESIDENTIAL KIMOJI ARE HERE! #KIMOJI  http://apple.co/28YijmF  pic.twitter.com,,
37,Sep 12,False,COMING SOON! @wonderlandmag pic.twitter.com,,
38,Sep 12,False,Happy National Video Game Day! #KimKardashianHollywood pic.twitter.com,,
39,Sep 11,False,It's a Kimoji! LOL https://twitter.com/alliedougherty_/status/775147184186535936 …,,
